accountIdentifier,principal,tokenIds,numberOfTokens
eba62ff09790de35107a9502cf673a708f5ce4aa9ad04d0e862349c9d25935f8,cd3yv-nkb2m-mjvnb-naicp-mkqk2-g4f3d-g7y4g-xdeaz-n6i75-xur54-xae,2333,3
f44c18611325ddf715e8a8a6f8e8308f2606b2ebc5ca5102f8a4f97981128450,wxnnz-bart4-tsufm-hvz3u-fhcgm-vb5yu-ilba5-7qaui-25eg5-nsmbg-zqe,4;7;9;1962;10;92,0
b1569a59eea517235679a67be1d1df9b5a6c700656b56116e71f8e14b3f2a585,jt6pq-pfact-6nq4w-xpd7l-jvsh3-ghmvo-yp34h-pmon5-5dcjo-rygay-sqe,98;83;101;102;167;169,100
61a14b047702783700379608d2a86248eb30721709ce3b807ec5a8571f7fc390,hxdpn-hxyoy-em7uq-73yoz-fcese-vwdzn-fcdtu-p746p-e3fkm-rxnhk-cqe,2434,5
6dd704fa7216e3d876eccc871eb877d7435e1b298ec8c3237c3771b94874e003,rce3q-iaaaa-aaaap-qpyfa-cai,117,1
3b93d4fd8631b8c57a073805a5d2c660e60685ac3b008f07469d726a2cff7163,wn3ei-naq75-oaat7-aouae-xtwxx-o4ytg-gjalf-pj43x-zsabp-uaopu-yqe,166,2 
