accountIdentifier,principal,tokenIds,numberOfTokens
eba62ff09790de35107a9502cf673a708f5ce4aa9ad04d0e862349c9d25935f8,cd3yv-nkb2m-mjvnb-naicp-mkqk2-g4f3d-g7y4g-xdeaz-n6i75-xur54-xae,2333,2
f44c18611325ddf715e8a8a6f8e8308f2606b2ebc5ca5102f8a4f97981128450,wxnnz-bart4-tsufm-hvz3u-fhcgm-vb5yu-ilba5-7qaui-25eg5-nsmbg-zqe,4;7;9;1962;10;92;103;87;104,8
61a14b047702783700379608d2a86248eb30721709ce3b807ec5a8571f7fc390,hxdpn-hxyoy-em7uq-73yoz-fcese-vwdzn-fcdtu-p746p-e3fkm-rxnhk-cqe,2434,1
6dd704fa7216e3d876eccc871eb877d7435e1b298ec8c3237c3771b94874e003,rce3q-iaaaa-aaaap-qpyfa-cai,117,1
3b93d4fd8631b8c57a073805a5d2c660e60685ac3b008f07469d726a2cff7163,wn3ei-naq75-oaat7-aouae-xtwxx-o4ytg-gjalf-pj43x-zsabp-uaopu-yqe,166,1
f4f1b3432c1d666b8784802207f71a0252586237676be9bb53c160a9faad0d38,654dy-i57dp-77fx5-o73ug-qeorm-y53i2-3ct3i-354oj-jvgy7-nml4n-qae,33,1
ccfdf8c671056aa5dbd9a7bd8682903ff1a6376d46f76308c4bbf8fe29590df8,dew2c-oslno-ls7hp-3adol-vevbv-vi37c-nn4tx-7eaeg-33kr4-smnth-sae,28,1 
